time,open,high,low,close,tick_volume,spread,real_volume
2024-01-23 21:15:00,2027.973,2028.634,2027.779,2028.353,458,199,0
2024-01-23 21:30:00,2028.354,2029.173,2028.354,2028.767,500,200,0
2024-01-23 21:45:00,2028.765,2029.27,2028.607,2028.91,326,200,0
2024-01-23 23:00:00,2028.631,2029.352,2028.468,2029.216,361,599,0
2024-01-23 23:15:00,2029.22,2029.388,2027.414,2027.595,477,599,0
2024-01-23 23:30:00,2027.571,2028.4,2027.087,2028.36,610,600,0
2024-01-23 23:45:00,2028.303,2029.209,2027.432,2029.137,460,599,0
2024-01-24 00:00:00,2029.27,2029.27,2028.269,2028.336,709,199,0
2024-01-24 00:15:00,2028.336,2028.703,2027.349,2027.831,843,199,0
2024-01-24 00:30:00,2027.835,2027.983,2027.159,2027.318,647,200,0
2024-01-24 00:45:00,2027.336,2027.916,2026.898,2027.345,661,199,0
2024-01-24 01:00:00,2027.305,2028.241,2026.7,2027.85,964,199,0
2024-01-24 01:15:00,2027.819,2028.914,2027.138,2027.953,879,199,0
2024-01-24 01:30:00,2027.952,2028.901,2026.841,2026.962,954,199,0
2024-01-24 01:45:00,2026.96,2028.075,2026.401,2027.21,927,199,0
2024-01-24 02:00:00,2027.188,2027.555,2025.182,2025.345,888,199,0
2024-01-24 02:15:00,2025.393,2026.141,2024.95,2025.848,861,200,0
2024-01-24 02:30:00,2025.854,2026.142,2025.301,2025.857,735,200,0
2024-01-24 02:45:00,2025.858,2025.902,2023.939,2024.207,687,200,0
2024-01-24 03:00:00,2024.186,2025.0,2023.749,2024.887,850,199,0
2024-01-24 03:15:00,2024.852,2025.046,2023.708,2024.644,840,199,0
2024-01-24 03:30:00,2024.646,2024.969,2023.703,2024.77,763,199,0
2024-01-24 03:45:00,2024.79,2025.663,2024.725,2024.82,777,200,0
2024-01-24 04:00:00,2024.818,2025.042,2024.246,2024.433,619,199,0
2024-01-24 04:15:00,2024.435,2025.026,2023.983,2024.168,630,200,0
2024-01-24 04:30:00,2024.17,2025.617,2024.076,2025.403,630,200,0
2024-01-24 04:45:00,2025.429,2025.639,2024.289,2024.447,578,200,0
2024-01-24 05:00:00,2024.436,2024.44,2023.406,2024.277,869,199,0
2024-01-24 05:15:00,2024.274,2024.274,2022.762,2023.465,677,200,0
2024-01-24 05:30:00,2023.512,2024.982,2023.434,2024.166,829,200,0
2024-01-24 05:45:00,2024.166,2025.677,2023.915,2024.534,897,200,0
2024-01-24 06:00:00,2024.535,2025.186,2023.729,2024.911,855,200,0
2024-01-24 06:15:00,2024.913,2026.224,2024.609,2025.98,849,200,0
2024-01-24 06:30:00,2025.999,2027.924,2025.616,2027.706,995,200,0
2024-01-24 06:45:00,2027.708,2027.708,2025.912,2026.023,973,199,0
2024-01-24 07:00:00,2025.979,2028.125,2025.762,2027.537,1009,199,0
2024-01-24 07:15:00,2027.549,2028.355,2026.918,2027.52,932,199,0
2024-01-24 07:30:00,2027.545,2031.379,2027.382,2031.191,1406,199,0
2024-01-24 07:45:00,2031.202,2031.606,2028.756,2029.531,1213,199,0
2024-01-24 08:00:00,2029.561,2031.892,2029.051,2029.483,1391,200,0
2024-01-24 08:15:00,2029.487,2030.022,2028.183,2029.163,1329,199,0
2024-01-24 08:30:00,2029.168,2032.175,2029.168,2030.658,1308,199,0
2024-01-24 08:45:00,2030.658,2030.929,2029.076,2030.899,996,199,0
2024-01-24 09:00:00,2030.85,2033.459,2029.891,2032.282,1121,200,0
2024-01-24 09:15:00,2032.235,2033.02,2031.597,2032.167,1070,199,0
2024-01-24 09:30:00,2032.07,2034.144,2031.911,2032.359,1239,199,0
2024-01-24 09:45:00,2032.329,2032.428,2030.799,2030.875,1009,199,0
2024-01-24 10:00:00,2030.817,2032.253,2030.402,2031.701,917,199,0
2024-01-24 10:15:00,2031.69,2031.69,2029.661,2030.146,1023,199,0
2024-01-24 10:30:00,2030.13,2030.884,2029.342,2029.984,994,199,0
2024-01-24 10:45:00,2029.999,2033.0,2029.795,2032.677,876,200,0
2024-01-24 11:00:00,2032.726,2033.163,2030.801,2031.792,1082,199,0
